,Emotions,Path,Intensity,Statement,actor
0,surprise,/03-01-08-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
1,surprise,/03-01-08-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
2,angry,/03-01-05-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
3,fear,/03-01-06-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
4,fear,/03-01-06-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
5,angry,/03-01-05-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
6,disgust,/03-01-07-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
7,sad,/03-01-04-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
8,sad,/03-01-04-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
9,disgust,/03-01-07-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
10,happy,/03-01-03-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
11,happy,/03-01-03-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
12,calm,/03-01-02-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
13,neutral,/03-01-01-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
14,calm,/03-01-02-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
15,happy,/03-01-03-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
16,happy,/03-01-03-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
17,calm,/03-01-02-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
18,calm,/03-01-02-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
19,neutral,/03-01-01-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
20,surprise,/03-01-08-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
21,surprise,/03-01-08-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
22,fear,/03-01-06-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
23,angry,/03-01-05-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
24,angry,/03-01-05-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
25,fear,/03-01-06-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
26,sad,/03-01-04-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
27,disgust,/03-01-07-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
28,disgust,/03-01-07-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
29,sad,/03-01-04-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
30,calm,/03-01-02-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
31,neutral,/03-01-01-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
32,calm,/03-01-02-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
33,happy,/03-01-03-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
34,happy,/03-01-03-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
35,surprise,/03-01-08-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
36,surprise,/03-01-08-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
37,disgust,/03-01-07-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
38,sad,/03-01-04-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
39,sad,/03-01-04-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
40,disgust,/03-01-07-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
41,angry,/03-01-05-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
42,fear,/03-01-06-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
43,fear,/03-01-06-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
44,angry,/03-01-05-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
45,surprise,/03-01-08-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
46,surprise,/03-01-08-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
47,sad,/03-01-04-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
48,disgust,/03-01-07-02-01-01-01.wav,intense,Kids are talking by the door,Actor_01
49,disgust,/03-01-07-01-02-01-01.wav,normal,Dogs are sitting by the door,Actor_01
50,sad,/03-01-04-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
51,fear,/03-01-06-02-02-02-01.wav,intense,Dogs are sitting by the door,Actor_01
52,angry,/03-01-05-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
53,angry,/03-01-05-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
54,fear,/03-01-06-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
55,neutral,/03-01-01-01-01-02-01.wav,normal,Kids are talking by the door,Actor_01
56,calm,/03-01-02-01-01-01-01.wav,normal,Kids are talking by the door,Actor_01
57,calm,/03-01-02-02-02-01-01.wav,intense,Dogs are sitting by the door,Actor_01
58,happy,/03-01-03-01-02-02-01.wav,normal,Dogs are sitting by the door,Actor_01
59,happy,/03-01-03-02-01-02-01.wav,intense,Kids are talking by the door,Actor_01
60,fear,/03-01-06-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
61,angry,/03-01-05-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
62,angry,/03-01-05-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
63,fear,/03-01-06-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
64,sad,/03-01-04-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
65,disgust,/03-01-07-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
66,disgust,/03-01-07-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
67,sad,/03-01-04-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
68,surprise,/03-01-08-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
69,surprise,/03-01-08-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
70,happy,/03-01-03-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
71,happy,/03-01-03-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
72,calm,/03-01-02-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
73,calm,/03-01-02-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
74,neutral,/03-01-01-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
75,happy,/03-01-03-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
76,happy,/03-01-03-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
77,calm,/03-01-02-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
78,neutral,/03-01-01-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
79,calm,/03-01-02-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
80,angry,/03-01-05-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
81,fear,/03-01-06-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
82,fear,/03-01-06-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
83,angry,/03-01-05-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
84,disgust,/03-01-07-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
85,sad,/03-01-04-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
86,sad,/03-01-04-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
87,disgust,/03-01-07-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
88,surprise,/03-01-08-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
89,surprise,/03-01-08-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
90,neutral,/03-01-01-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
91,calm,/03-01-02-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
92,calm,/03-01-02-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
